region_pattern,country_pattern,division_pattern,location_pattern,out_region,out_country,out_division,out_location,comment
,,Unknown|unknown,,,,-1,,Unset unknown divisions
,CotedIvoire,,,,Côte D'Ivoire,,,
,Democratic Republic of the Congo,,,,DRC,,,Abbreviate name to save space
,DRC,Kongo Central,,,,Kongo-Central,,Fix typos
,Marocco,,,,Morocco,,,Fix typos
,Morocco,,,Africa,,,,Move to Africa
,Morocco,,Cadiz_h,Europe,Spain,Andalusia,Cadiz,"Move Cadiz to Andalusia, Spain"
,Nigeria,Ekiti,,,,Ekiti State,,Fix typos
,Nigeria,Ondo,,,,Ondo State,,
,Nigeria,Oyo,,,,Oyo State,,
,Nigeria,Osun,,,,Osun State,,
,Senegal,St Louis|St Louis (RTL),,,,St-Louis,,Fix typos
,Senegal,Dakarhuman,,,,Dakar,,
,Republic of Congo,,,,Republic of the Congo,,,
,South Africa,EC,,,,Eastern Cape,,Unabbreviate province names
,South Africa,KZN,,,,KwaZulu-Natal,,
,South Africa,GP,,,,Gauteng,,
,South Africa,LP|LM,,,,Limpopo,,
,South Africa,MP,,,,Mpumalanga,,
,South Africa,NW,,,,North West,,
,South Africa,FS,,,,Free State,,
,South Africa,WC|Western Cape Province,,,,Western Cape,,
,South Africa,KwaZulu-Natal,Harry gwala,,,,Harry Gwala,Fix typos
,South Africa,KwaZulu-Natal,ilembe,,,,Ilembe,
,South Africa,KwaZulu-Natal,ugu,,,,Ugu,
,South Africa,KwaZulu-Natal,Uthukela,,,,uThukela,
,South Africa,KwaZulu-Natal,Uthungulu,,,,uThungulu,
,South Africa,KwaZulu-Natal,Umzinyathi,,,,uMzinyathi,
,South Africa,KwaZulu-Natal,Umkhanyakude,,,,uMkhanyakude,
,South Africa,KwaZulu-Natal,Umgungundlovu|umgungundlovu,,,,uMgungundlovu,
Asian,,,,Asia,,,,Fix typos
,Bangladesh,Ragshahi,,,,Rajshahi,,
,China,NanChang,,,,Jiangxi,Nanchang,Move cities to provinces
,China,Guangzhou,,,,Guangdong,Guangzhou,
,China,Meizhou,,,,Guangdong,Meizhou,
,China,Hangzhou,,,,Zhejiang,Hangzhou,
,China,Wuhan,,,,Hubei,Wuhan,
,China,Keqiao,,,,Zhejiang,Keqiao,
,China,Shangyu,,,,Zhejiang,Shangyu,
,China,Yuecheng,,,,Zhejiang,Yuecheng,
,China,Harbin,,,,Heilongjiang,Harbin,
,China,Shenzhen,,,,Guangdong,Shenzhen,
,China,Weifang,,,,Shandong,Weifang,
